"STATION,""NAME"",""DATE"",""PRCP"",""TAVG"",""TMAX"",""TMIN"""
"COM00080110,""OLAYA HERRERA, CO"",""2000-01-27"",""22.1"",""22.3"",,""16.0"""
"COM00080110,""OLAYA HERRERA, CO"",""2000-02-22"",""1.0"",""21.5"",,""18.0"""
"COM00080110,""OLAYA HERRERA, CO"",""2000-03-08"",,""21.4"",,""18.0"""
"COM00080110,""OLAYA HERRERA, CO"",""2000-03-12"",,""22.8"",,""16.8"""
"COM00080110,""OLAYA HERRERA, CO"",""2000-03-13"",""0.5"",""19.8"",,"
"COM00080110,""OLAYA HERRERA, CO"",""2000-04-09"",,""23.7"",,"
"COM00080110,""OLAYA HERRERA, CO"",""2000-04-12"",""5.1"",""20.4"",,""18.1"""
"COM00080110,""OLAYA HERRERA, CO"",""2000-04-17"",""5.1"",""21.5"",,""18.2"""
"COM00080110,""OLAYA HERRERA, CO"",""2000-05-20"",""7.9"",""22.2"",,""17.5"""
PRUEBA,"PRUEBA DEFINITIVA, CO",22/05/2022,23.0,22.3,24.0,19.6
OTRA,"OTRA ESTACION, CO",22/05/2022,15.0,18.0,22.0,19.0
ULTIMA,"LA ULTIMA PRUEBA, CO",22/05/2005,15.0,12.0,13.0,14.0
COM0001011,"OLAYA HERRERA, CO",23-05-2022,23.0,19.0,19.5,18.5
